Method,Model,Precision,Negative Predictive Value,Recall,Specificity,Accuracy,F1 Score,Balanced Accuracy,ROC AUC
80,lgbm,0.7074,0.9316,0.8715,0.8291,0.8427,0.7809,0.8503,0.9242
80,catboost,0.9189,0.8154,0.5329,0.9777,0.8347,0.6746,0.7553,0.9016
80,mlp,0.6774,0.6899,0.0658,0.9851,0.6895,0.12,0.5255,0.7003
90,lr,0.4943,0.8133,0.674,0.6731,0.6734,0.5703,0.6735,0.7454
90,knn,0.6544,0.7716,0.4451,0.8886,0.746,0.5299,0.6668,0.8076
90,svcrbf,0.4061,0.761,0.6238,0.5676,0.5857,0.492,0.5957,0.6469
90,rf,0.9804,0.9723,0.9404,0.9911,0.9748,0.96,0.9658,0.9952
90,xgb,0.9476,0.932,0.8495,0.9777,0.9365,0.8959,0.9136,0.9769
90,lgbm,0.7293,0.9528,0.9122,0.8395,0.8629,0.8106,0.8759,0.9459
90,catboost,0.9179,0.8243,0.5611,0.9762,0.8427,0.6965,0.7687,0.9243
90,mlp,0.4733,0.8044,0.6677,0.6478,0.6542,0.554,0.6578,0.7339
100,lr,0.4955,0.8182,0.6865,0.6686,0.6744,0.5756,0.6776,0.7449
100,knn,0.6869,0.7789,0.4608,0.9004,0.7591,0.5516,0.6806,0.826
100,svcrbf,0.407,0.7598,0.6176,0.5736,0.5877,0.4907,0.5956,0.6477
100,rf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,xgb,0.9896,0.9517,0.8934,0.9955,0.9627,0.939,0.9445,0.9955
100,lgbm,0.7583,0.9649,0.9342,0.8588,0.8831,0.8371,0.8965,0.9604
100,catboost,0.9381,0.8283,0.5705,0.9822,0.8498,0.7096,0.7764,0.9338
100,mlp,0.7097,0.6909,0.069,0.9866,0.6915,0.1257,0.5278,0.7253
